Market Name,Volume,TimeStamp
BTC-DYN,5728.06030983,2017-08-23T13:47:31.88
BTC-TKS,6119.34751835,2017-08-23T13:49:05.393
BTC-MUSIC,9661942.75597,2017-08-23T13:49:05.393
BTC-DTB,61012.4673102,2017-08-23T13:44:41.97
BTC-INCNT,600237.684791,2017-08-23T13:49:11.52
BTC-GBYTE,1786.55985704,2017-08-23T13:49:14.457
BTC-GNT,3693650.02402,2017-08-23T13:49:07.49
BTC-NXC,179603.569934,2017-08-23T13:48:32.097
BTC-EDG,1130417.07186,2017-08-23T13:49:14.74
BTC-LGD,1033109.2943,2017-08-23T13:49:14.583
BTC-TRST,522261.461567,2017-08-23T13:49:12.973
ETH-GNT,344306.240133,2017-08-23T13:43:59.907
ETH-REP,1059.79941179,2017-08-23T13:49:19.333
USDT-ETH,15892.1065126,2017-08-23T13:49:18.253
ETH-WINGS,120744.867406,2017-08-23T13:49:18.24
BTC-WINGS,748293.447104,2017-08-23T13:44:16.157
BTC-RLC,392467.555322,2017-08-23T13:48:30.677
BTC-GNO,1806.42908717,2017-08-23T13:46:24.347
BTC-GUP,2613560.48285,2017-08-23T13:49:16.69
BTC-LUN,17486.5389595,2017-08-23T13:49:21.973
ETH-GUP,497701.652694,2017-08-23T13:49:22.8
ETH-RLC,114970.966744,2017-08-23T13:49:23.3
ETH-LUN,4457.44310955,2017-08-23T13:49:23.347
ETH-SNGLS,675935.184565,2017-08-23T13:44:33.097
ETH-GNO,132.80711555,2017-08-23T13:49:25.067
BTC-APX,6010.56258182,2017-08-23T13:49:16.003
BTC-TKN,147402.199458,2017-08-23T13:49:12.537
ETH-TKN,15681.926717,2017-08-23T13:49:25.787
BTC-HMQ,885404.194082,2017-08-23T13:49:11.583
ETH-HMQ,623054.553517,2017-08-23T13:49:27.003
BTC-ANT,88483.0808991,2017-08-23T13:49:24.567
ETH-TRST,680731.201741,2017-08-23T13:49:28.74
ETH-ANT,17830.9521797,2017-08-23T13:49:28.77
BTC-SC,268814864.942,2017-08-23T13:49:26.083
ETH-BAT,925434.381154,2017-08-23T13:47:43.723
BTC-BAT,7228895.29929,2017-08-23T13:49:02.52
BTC-ZEN,32290.1302972,2017-08-23T13:48:51.13
BTC-1ST,439166.063721,2017-08-23T13:47:51.393
BTC-QRL,465522.452601,2017-08-23T13:49:01.707
ETH-1ST,34133.5622173,2017-08-23T13:49:31.19
ETH-QRL,20940.4339951,2017-08-23T13:49:31.77
BTC-CRB,134847.870217,2017-08-23T13:49:23.19
ETH-CRB,6189.66740777,2017-08-23T13:49:32.583
ETH-LGD,70132.4093729,2017-08-23T13:49:33.503
BTC-PTOY,1036396.31932,2017-08-23T13:47:59.457
ETH-PTOY,65162.3346367,2017-08-23T13:49:32.44
BTC-MYST,189001.540338,2017-08-23T13:49:32.863
ETH-MYST,561869.798603,2017-08-23T13:49:35.723
BTC-CFI,1153581.7644,2017-08-23T13:49:32.49
ETH-CFI,215123.740036,2017-08-23T13:49:09.143
BTC-BNT,116203.848141,2017-08-23T13:49:37.143
ETH-BNT,23561.537029,2017-08-23T13:47:38.847
BTC-NMR,10323.6963281,2017-08-23T13:49:37.957
ETH-NMR,876.01967988,2017-08-23T13:49:37.393
ETH-TIME,6364.10087197,2017-08-23T13:49:38.927
ETH-LTC,7314.17596337,2017-08-23T13:49:39.3
ETH-XRP,19852281.8357,2017-08-23T13:49:38.473
BTC-SNT,37426082.1167,2017-08-23T13:49:17.13
ETH-SNT,4061559.6198,2017-08-23T13:49:00.847
BTC-DCT,449477.104944,2017-08-23T13:49:38.973
BTC-XEL,1187351.97535,2017-08-23T13:49:36.817
BTC-MCO,890444.145823,2017-08-23T13:49:41.74
ETH-MCO,90749.8644135,2017-08-23T13:49:11.49
BTC-ADT,2426000.56827,2017-08-23T13:49:39.8
ETH-ADT,1345808.05179,2017-08-23T13:49:43.49
BTC-FUN,18959371.298,2017-08-23T13:49:09.19
ETH-FUN,4525422.94238,2017-08-23T13:47:45.94
BTC-PAY,1909689.45719,2017-08-23T13:49:24.287
ETH-PAY,260703.602555,2017-08-23T13:49:12.723
BTC-MTL,141638.58231,2017-08-23T13:49:43.677
ETH-MTL,5074.53490866,2017-08-23T13:49:44.723
BTC-STORJ,545590.026282,2017-08-23T13:49:40.537
